"geoid","fuelheat","housingvalue","kitchen","mortgage","mortgagecost","mortgageval","occupy","occupyown","phone","plumbing","rentgross","rentprcinc","rooms","units","unitsownpop"
"05000US39107",77.35,"144100","96.46",52.01,"73.16","50.6",89.79,76.56,"98.22","98.2","677",39.9,6.1,1.98453800298063,80.13
"05000US39109",88.51,"145800","96.41",67.41,"84.88","67.91",92.69,69.93,"98.04","98.58","767",41.6,6.1,1.95326306565079,72.17
"05000US39111",80.55,"104700","91.72",35.82,"58.62","29.46",79.02,75.64,"97.73","90.62","577",46.3,5.9,1.98317914213625,73.96
"05000US39113",96.59,"115400","95.25",63.52,"81.12","65.89",87.86,60.99,"98.35","96.23","775",39.3,5.7,1.75081958426756,63.4
"05000US39115",70.27,"96500","91.68",45.26,"70.55","54.57",77.33,77.89,"98.31","88.06","588",44.3,5.8,1.9313486253457,79.36
"05000US39117",53.97,"144900","93.71",61.19,"81.51","61.47",88.64,81.99,"95.77","93.81","703",41.7,6.3,1.98150197628458,83.91
"05000US39119",88.36,"116200","96.32",59.06,"79.65","56.65",90.23,67.68,"98.3","97.01","685",40.2,5.6,1.94258009871784,71.07
"05000US39121",69.58,"98400","95.56",37.08,"62.75","39.83",80.84,83.99,"97.56","94.5","643",49.7,5.9,1.99939601369036,85.04
"05000US39123",77.28,"148400","98.45",56.71,"79.08","63.97",62.31,78.68,"97.37","99.18","724",49,5.8,1.98982533491606,79.7
"05000US39125",68.34,"94300","93.5",54.76,"74.63","52.42",88.75,76.9,"97.36","97.75","662",42,6.3,1.98223938223938,78.94
"05000US39127",78.28,"107600","95.09",60.62,"80.89","59.73",88.51,74.27,"94.89","94.5","616",39.9,5.8,1.98088137595039,76.26
"05000US39129",80.23,"157800","96.6",63.99,"83.35","66.73",92.35,75.18,"97.9","97.79","792",39.4,5.9,1.98266423357664,77.11
"05000US39131",73.98,"106500","92.06",50.36,"73.25","47.25",84.42,67.26,"96.58","92.14","656",40.8,5.6,1.96821289964886,69.19
"05000US39133",90.18,"157300","97.77",64.29,"83.03","68.38",90.06,69.71,"98.88","98.1","841",37.9,6,1.92968560966561,72.89
"05000US39135",77.19,"119300","96.78",58.51,"77.02","56.66",89.96,77.33,"98.27","96.54","717",42.6,6,1.98129272840273,77.03
